mese;giorno;data - ora;Gb(i);Gd(i);Gr(i);Altezza sole;Temperatura aria ext;Text media giornaliera;Text media mensile;Text media giornaliera per calcolo GG;Gradi giorno;secondi in un ora;secondi in un giorno;secondi in un mese;Htr [W/K];Hve [W/K];Qht orario [MJ];Qht giornaliero [MJ];Qht mensile [MJ]
;;03/01/2020 - 09:09;222,33;81,15;1,73;8,48;4,92;;;;;;;;;;90,2;;
;;03/01/2020 - 10:09;459,3;122,26;4,25;17,33;7,44;;;;;;;;;;75,1;;
;;03/01/2020 - 11:09;622,8;140,64;6,25;24,33;10,42;;;;;;;;;;57,3;;
;;03/01/2020 - 12:09;745,88;136,95;7,61;28,83;11,34;;;;;;;;;;51,8;;
;;03/01/2020 - 13:09;752,95;145,68;7,97;30,24;11,95;;;;;;;;;;48,2;;
;;03/01/2020 - 14:09;710,21;133,99;7,47;28,35;12,27;;;;;;;;;;46,2;;
;;03/01/2020 - 15:09;559,31;131,56;5,98;23,44;12,3;;;;;;;;;;46,1;;
;;03/01/2020 - 16:09;364,51;110,65;3,83;16,13;12,07;;;;;;;;;;47,4;;
;;03/01/2020 - 17:09;194,28;51,99;1,44;7,06;11,65;;;;;;;;;;50,0;;
;;03/01/2020 - 18:09;0;0;0;0;10,62;;;;;;;;;;56,1;;
;;03/01/2020 - 19:09;0;0;0;0;9,49;;;;;;;;;;62,9;;
;;03/01/2020 - 20:09;0;0;0;0;8,57;;;;;;;;;;68,4;;
;;03/01/2020 - 21:09;0;0;0;0;8,05;;;;;;;;;;71,5;;
;;03/01/2020 - 22:09;0;0;0;0;7,53;;;;;;;;;;74,6;;
;;03/01/2020 - 23:09;0;0;0;0;6,95;8,86;;7,68;;;;;;;78,1;;
;sabato;04/01/2020 - 00:09;0;0;0;0;6,4;;;;;;;;;;81,4;1657,54;
;;04/01/2020 - 01:09;0;0;0;0;5,96;;;;;;;;;;84,0;;
;;04/01/2020 - 02:09;0;0;0;0;5,68;;;;;;;;;;85,7;;
;;04/01/2020 - 03:09;0;0;0;0;5,42;;;;;;;;;;87,2;;
;;04/01/2020 - 04:09;0;0;0;0;5,05;;;;;;;;;;89,4;;
;;04/01/2020 - 05:09;0;0;0;0;4,77;;;;;;;;;;91,1;;
;;04/01/2020 - 06:09;0;0;0;0;4,78;;;;;;;;;;91,1;;
;;04/01/2020 - 07:09;0;0;0;0;4,67;;;;;;;;;;91,7;;
;;04/01/2020 - 08:09;0;0;0;0;4,53;;;;;;;;;;92,6;;
;;04/01/2020 - 09:09;215,31;79,93;1,7;8,49;4,72;;;;;;;;;;91,4;;
;;04/01/2020 - 10:09;449,5;121,06;4,19;17,35;7,1;;;;;;;;;;77,2;;
;;04/01/2020 - 11:09;621,63;137,31;6,22;24,38;9,33;;;;;;;;;;63,8;;
;;04/01/2020 - 12:09;679,92;161,6;7,37;28,9;10,71;;;;;;;;;;55,6;;
;;04/01/2020 - 13:09;727,05;152,46;7,85;30,34;11,5;;;;;;;;;;50,9;;
