mese;giorno;data - ora;Gb(i);Gd(i);Gr(i);Altezza sole;Temperatura aria ext;Text media giornaliera;Text media mensile;Text media giornaliera per calcolo GG;Gradi giorno;secondi in un ora;secondi in un giorno;secondi in un mese;Htr [W/K];Hve [W/K];Qht orario [MJ];Qht giornaliero [MJ];Qht mensile [MJ]
;;14/04/2020 - 19:09;0;20,22;0,35;4,04;18,11;;;;;;;;;;11,3;;
;;14/04/2020 - 20:09;0;0;0;0;16,68;;;;;;;;;;19,9;;
;;14/04/2020 - 21:09;0;0;0;0;15,62;;;;;;;;;;26,2;;
;;14/04/2020 - 22:09;0;0;0;0;15,02;;;;;;;;;;29,8;;
;;14/04/2020 - 23:09;0;0;0;0;14,71;15,49;;15,73;;;;;;;31,7;;
;mercoledì;15/04/2020 - 00:09;0;0;0;0;14,67;;;;;;;;;;31,9;807,95;
;;15/04/2020 - 01:09;0;0;0;0;14,44;;;;;;;;;;33,3;;
;;15/04/2020 - 02:09;0;0;0;0;13,91;;;;;;;;;;36,4;;
;;15/04/2020 - 03:09;0;0;0;0;13,38;;;;;;;;;;39,6;;
;;15/04/2020 - 04:09;0;0;0;0;13,08;;;;;;;;;;41,4;;
;;15/04/2020 - 05:09;0;0;0;0;12,85;;;;;;;;;;42,8;;
;;15/04/2020 - 06:09;0;0;0;0;12,34;;;;;;;;;;45,8;;
;;15/04/2020 - 07:09;35,91;40,8;1,32;7,52;12,05;;;;;;;;;;47,6;;
;;15/04/2020 - 08:09;189,18;108,44;4,25;19,49;13,62;;;;;;;;;;38,2;;
;;15/04/2020 - 09:09;364,01;164,37;7,22;31,37;15,77;;;;;;;;;;25,3;;
;;15/04/2020 - 10:09;591,48;172,6;10,21;42,77;16,46;;;;;;;;;;21,2;;
;;15/04/2020 - 11:09;599,02;264,4;11,62;52,96;16,63;;;;;;;;;;20,2;;
;;15/04/2020 - 12:09;253,09;428,23;9,89;60,45;16,65;;;;;;;;;;20,0;;
;;15/04/2020 - 13:09;116,08;433,08;8,4;62,79;16,6;;;;;;;;;;20,3;;
;;15/04/2020 - 14:09;0;164,54;2,68;58,77;16,25;;;;;;;;;;22,4;;
;;15/04/2020 - 15:09;101,81;368,04;7,28;50,31;15,99;;;;;;;;;;24,0;;
;;15/04/2020 - 16:09;121,66;299,31;6,54;39,67;15,67;;;;;;;;;;25,9;;
;;15/04/2020 - 17:09;16,25;186,4;3,29;28,08;15,25;;;;;;;;;;28,4;;
;;15/04/2020 - 18:09;0;59,16;0,96;16,14;14,69;;;;;;;;;;31,8;;
;;15/04/2020 - 19:09;0;15,83;0,27;4,2;14,02;;;;;;;;;;35,8;;
;;15/04/2020 - 20:09;0;0;0;0;13,41;;;;;;;;;;39,4;;
;;15/04/2020 - 21:09;0;0;0;0;12,68;;;;;;;;;;43,8;;
;;15/04/2020 - 22:09;0;0;0;0;12,44;;;;;;;;;;45,2;;
;;15/04/2020 - 23:09;0;0;0;0;12,11;14,37;;14,47;;;;;;;47,2;;
;giovedì;16/04/2020 - 00:09;0;0;0;0;11,95;;;;;;;;;;48,2;959,56;
;;16/04/2020 - 01:09;0;0;0;0;11,68;;;;;;;;;;49,8;;
;;16/04/2020 - 02:09;0;0;0;0;11,46;;;;;;;;;;51,1;;
;;16/04/2020 - 03:09;0;0;0;0;11,41;;;;;;;;;;51,4;;
;;16/04/2020 - 04:09;0;0;0;0;11,17;;;;;;;;;;52,8;;
;;16/04/2020 - 05:09;0;0;0;0;10,94;;;;;;;;;;54,2;;
;;16/04/2020 - 06:09;0;0;0;0;10,83;;;;;;;;;;54,9;;
;;16/04/2020 - 07:09;0,8;34,2;0,57;7,78;10,93;;;;;;;;;;54,3;;
;;16/04/2020 - 08:09;4,24;109,34;1,83;19,75;12;;;;;;;;;;47,9;;
;;16/04/2020 - 09:09;0;137,73;2,24;31,64;12,88;;;;;;;;;;42,6;;
;;16/04/2020 - 10:09;21,47;276,57;4,75;43,06;13,58;;;;;;;;;;38,4;;
;;16/04/2020 - 11:09;67,92;370,55;6,81;53,28;14,44;;;;;;;;;;33,3;;
;;16/04/2020 - 12:09;65,28;402,52;7,31;60,81;15,13;;;;;;;;;;29,1;;
;;16/04/2020 - 13:09;356,94;415,3;11,03;63,14;15,87;;;;;;;;;;24,7;;
;;16/04/2020 - 14:09;733,59;214,88;13,14;59,05;16,02;;;;;;;;;;23,8;;
;;16/04/2020 - 15:09;399,14;308,61;10,27;50,53;16,32;;;;;;;;;;22,0;;
;;16/04/2020 - 16:09;150,02;295,32;6,89;39,85;16,31;;;;;;;;;;22,1;;
;;16/04/2020 - 17:09;222,26;154,77;6,16;28,25;15,98;;;;;;;;;;24,1;;
;;16/04/2020 - 18:09;103;65,32;3,58;16,3;15,28;;;;;;;;;;28,2;;
;;16/04/2020 - 19:09;0;21,98;0,38;4,36;14,37;;;;;;;;;;33,7;;
;;16/04/2020 - 20:09;0;0;0;0;13,51;;;;;;;;;;38,8;;
;;16/04/2020 - 21:09;0;0;0;0;12,95;;;;;;;;;;42,2;;
;;16/04/2020 - 22:09;0;0;0;0;12,56;;;;;;;;;;44,5;;
;;16/04/2020 - 23:09;0;0;0;0;12,05;13,32;;13,385;;;;;;;47,6;;
;venerdì;17/04/2020 - 00:09;0;0;0;0;11,83;;;;;;;;;;48,9;819,61;
;;17/04/2020 - 01:09;0;0;0;0;11,2;;;;;;;;;;52,7;;
;;17/04/2020 - 02:09;0;0;0;0;10,54;;;;;;;;;;56,6;;
;;17/04/2020 - 03:09;0;0;0;0;10,16;;;;;;;;;;58,9;;
;;17/04/2020 - 04:09;0;0;0;0;9,73;;;;;;;;;;61,4;;
;;17/04/2020 - 05:09;0;0;0;0;9,49;;;;;;;;;;62,9;;
;;17/04/2020 - 06:09;0;0;0;0;9,45;;;;;;;;;;63,1;;
;;17/04/2020 - 07:09;2,36;41,59;0,72;8,04;9,62;;;;;;;;;;62,1;;
;;17/04/2020 - 08:09;41,97;146,65;2,93;20;11,94;;;;;;;;;;48,2;;
;;17/04/2020 - 09:09;391,68;153,96;7,5;31,9;14,5;;;;;;;;;;32,9;;
;;17/04/2020 - 10:09;609,49;165,65;10,43;43,34;16,36;;;;;;;;;;21,8;;
;;17/04/2020 - 11:09;732,81;194,74;12,45;53,59;17,6;;;;;;;;;;14,4;;
;;17/04/2020 - 12:09;848,87;183,35;13,89;61,16;18,24;;;;;;;;;;10,5;;
;;17/04/2020 - 13:09;879,64;173,61;14,33;63,49;18,51;;;;;;;;;;8,9;;
;;17/04/2020 - 14:09;817,62;167,91;13,67;59,34;18,69;;;;;;;;;;7,8;;
;;17/04/2020 - 15:09;685,49;158,8;12,07;50,75;18,62;;;;;;;;;;8,3;;
;;17/04/2020 - 16:09;491,47;148,94;9,64;40,03;18,6;;;;;;;;;;8,4;;
;;17/04/2020 - 17:09;284,71;120,3;6,71;28,41;18,13;;;;;;;;;;11,2;;
;;17/04/2020 - 18:09;90,3;77,06;3,5;16,45;17,3;;;;;;;;;;16,2;;
;;17/04/2020 - 19:09;0;21,98;0,38;4,53;16,36;;;;;;;;;;21,8;;
;;17/04/2020 - 20:09;0;0;0;0;15,27;;;;;;;;;;28,3;;
;;17/04/2020 - 21:09;0;0;0;0;14,26;;;;;;;;;;34,3;;
;;17/04/2020 - 22:09;0;0;0;0;13,6;;;;;;;;;;38,3;;
;;17/04/2020 - 23:09;0;0;0;0;13,01;14,29;;14,4775;;;;;;;41,8;;
;sabato;18/04/2020 - 00:09;0;0;0;0;12,56;;;;;;;;;;44,5;631,03;
;;18/04/2020 - 01:09;0;0;0;0;12,17;;;;;;;;;;46,8;;
;;18/04/2020 - 02:09;0;0;0;0;11,98;;;;;;;;;;48,0;;
;;18/04/2020 - 03:09;0;0;0;0;11,77;;;;;;;;;;49,2;;
;;18/04/2020 - 04:09;0;0;0;0;11,59;;;;;;;;;;50,3;;
;;18/04/2020 - 05:09;0;0;0;0;11,41;;;;;;;;;;51,4;;
;;18/04/2020 - 06:09;0;0;0;0;11,23;;;;;;;;;;52,5;;
;;18/04/2020 - 07:09;38,59;44,88;1,49;8,29;10,91;;;;;;;;;;54,4;;
;;18/04/2020 - 08:09;193,45;110,39;4,43;20,25;13,76;;;;;;;;;;37,3;;
;;18/04/2020 - 09:09;395,95;150,46;7,55;32,16;16,15;;;;;;;;;;23,0;;
;;18/04/2020 - 10:09;593,23;172,31;10,36;43,62;17,69;;;;;;;;;;13,8;;
;;18/04/2020 - 11:09;726,51;195,19;12,42;53,9;18,75;;;;;;;;;;7,5;;
;;18/04/2020 - 12:09;811,09;201,74;13,7;61,51;19,52;;;;;;;;;;2,9;;
;;18/04/2020 - 13:09;840;193,12;14,12;63,83;20,04;;;;;;;;;;-0,2;;
;;18/04/2020 - 14:09;722,55;222,19;13,18;59,62;20,4;;;;;;;;;;-2,4;;
;;18/04/2020 - 15:09;605,09;203,91;11,64;50,97;20,5;;;;;;;;;;-3,0;;
;;18/04/2020 - 16:09;393,9;203;9,04;40,21;20,09;;;;;;;;;;-0,5;;
;;18/04/2020 - 17:09;210,24;162,42;6,15;28,57;19,28;;;;;;;;;;4,3;;
;;18/04/2020 - 18:09;85,41;80,6;3,47;16,61;18,44;;;;;;;;;;9,3;;
;;18/04/2020 - 19:09;0;23,74;0,41;4,69;17,48;;;;;;;;;;15,1;;
;;18/04/2020 - 20:09;0;0;0;0;16,31;;;;;;;;;;22,1;;
;;18/04/2020 - 21:09;0;0;0;0;14,74;;;;;;;;;;31,5;;
;;18/04/2020 - 22:09;0;0;0;0;14,16;;;;;;;;;;34,9;;
;;18/04/2020 - 23:09;0;0;0;0;13,6;15,61;;15,9675;;;;;;;38,3;;
;domenica;19/04/2020 - 00:09;0;0;0;0;13,22;;;;;;;;;;40,6;500,18;
;;19/04/2020 - 01:09;0;0;0;0;13,3;;;;;;;;;;40,1;;
;;19/04/2020 - 02:09;0;0;0;0;13,4;;;;;;;;;;39,5;;
;;19/04/2020 - 03:09;0;0;0;0;13,63;;;;;;;;;;38,1;;
;;19/04/2020 - 04:09;0;0;0;0;13,78;;;;;;;;;;37,2;;
;;19/04/2020 - 05:09;0;0;0;0;13,84;;;;;;;;;;36,9;;
;;19/04/2020 - 06:09;0;0;0;0;13,32;;;;;;;;;;40,0;;
;;19/04/2020 - 07:09;31,87;49,43;1,44;8,54;13,33;;;;;;;;;;39,9;;
;;19/04/2020 - 08:09;154,65;126,29;4,16;20,5;14,14;;;;;;;;;;35,1;;
;;19/04/2020 - 09:09;364,11;162,43;7,34;32,42;16,6;;;;;;;;;;20,3;;
;;19/04/2020 - 10:09;568,22;179,7;10,18;43,89;17,98;;;;;;;;;;12,1;;
;;19/04/2020 - 11:09;697,91;202,6;12,19;54,21;19,2;;;;;;;;;;4,8;;
;;19/04/2020 - 12:09;809,23;193,64;13,61;61,85;20,01;;;;;;;;;;-0,1;;
;;19/04/2020 - 13:09;934,84;122,32;14,46;64,18;20,53;;;;;;;;;;-3,2;;
;;19/04/2020 - 14:09;776,93;179,28;13,36;59,9;20,45;;;;;;;;;;-2,7;;
;;19/04/2020 - 15:09;637,97;176,05;11,74;51,18;19,86;;;;;;;;;;0,8;;
;;19/04/2020 - 16:09;398,77;194,68;9,02;40,39;19,49;;;;;;;;;;3,1;;
;;19/04/2020 - 17:09;242,96;139,45;6,37;28,73;19,15;;;;;;;;;;5,1;;
;;19/04/2020 - 18:09;78,8;83,48;3,38;16,76;18,43;;;;;;;;;;9,4;;
;;19/04/2020 - 19:09;0;22,86;0,39;4,85;17,73;;;;;;;;;;13,6;;
;;19/04/2020 - 20:09;0;0;0;0;17,11;;;;;;;;;;17,3;;
;;19/04/2020 - 21:09;0;0;0;0;16,38;;;;;;;;;;21,7;;
;;19/04/2020 - 22:09;0;0;0;0;15,94;;;;;;;;;;24,3;;
;;19/04/2020 - 23:09;0;0;0;0;15,58;16,52;;16,885;;;;;;;26,4;;
;lunedì;20/04/2020 - 00:09;0;0;0;0;15,2;;;;;;;;;;28,7;613,56;
;;20/04/2020 - 01:09;0;0;0;0;14,82;;;;;;;;;;31,0;;
;;20/04/2020 - 02:09;0;0;0;0;14,6;;;;;;;;;;32,3;;
;;20/04/2020 - 03:09;0;0;0;0;14,71;;;;;;;;;;31,7;;
;;20/04/2020 - 04:09;0;0;0;0;14,77;;;;;;;;;;31,3;;
;;20/04/2020 - 05:09;0;0;0;0;14,67;;;;;;;;;;31,9;;
;;20/04/2020 - 06:09;0;0;0;0;14,53;;;;;;;;;;32,7;;
;;20/04/2020 - 07:09;0;25,88;0,42;8,79;14,52;;;;;;;;;;32,8;;
;;20/04/2020 - 08:09;0;37,9;0,62;20,75;15,02;;;;;;;;;;29,8;;
;;20/04/2020 - 09:09;0;129,41;2,1;32,67;15,77;;;;;;;;;;25,3;;
;;20/04/2020 - 10:09;7,76;248,35;4,13;44,16;15,88;;;;;;;;;;24,7;;
;;20/04/2020 - 11:09;3,34;271,09;4,45;54,51;16,29;;;;;;;;;;22,2;;
;;20/04/2020 - 12:09;106,47;420,57;8,1;62,19;16,74;;;;;;;;;;19,5;;
;;20/04/2020 - 13:09;50,41;399,52;7,11;64,51;18,15;;;;;;;;;;11,1;;
;;20/04/2020 - 14:09;0;117,39;1,91;60,18;18,08;;;;;;;;;;11,5;;
;;20/04/2020 - 15:09;0;99,83;1,62;51,4;18,44;;;;;;;;;;9,3;;
;;20/04/2020 - 16:09;0;83,19;1,35;40,57;18,15;;;;;;;;;;11,1;;
;;20/04/2020 - 17:09;116,72;200,85;5,23;28,88;17,76;;;;;;;;;;13,4;;
;;20/04/2020 - 18:09;72,36;88,99;3,34;16,92;16,85;;;;;;;;;;18,8;;
;;20/04/2020 - 19:09;0;24,62;0,42;5,01;15,66;;;;;;;;;;26,0;;
;;20/04/2020 - 20:09;0;0;0;0;14,83;;;;;;;;;;30,9;;
;;20/04/2020 - 21:09;0;0;0;0;14,32;;;;;;;;;;34,0;;
;;20/04/2020 - 22:09;0;0;0;0;13,95;;;;;;;;;;36,2;;
;;20/04/2020 - 23:09;0;0;0;0;13,74;15,73;;15,695;;;;;;;37,5;;
;martedì;21/04/2020 - 00:09;0;0;0;0;13,63;;;;;;;;;;38,1;674,59;
;;21/04/2020 - 01:09;0;0;0;0;13,42;;;;;;;;;;39,4;;
;;21/04/2020 - 02:09;0;0;0;0;13,53;;;;;;;;;;38,7;;
;;21/04/2020 - 03:09;0;0;0;0;13,46;;;;;;;;;;39,1;;
;;21/04/2020 - 04:09;0;0;0;0;13,58;;;;;;;;;;38,4;;
;;21/04/2020 - 05:09;0;0;0;0;13,53;;;;;;;;;;38,7;;
;;21/04/2020 - 06:09;0;0;0;0;13,47;;;;;;;;;;39,1;;
;;21/04/2020 - 07:09;10,29;56,14;1,13;9,03;13,37;;;;;;;;;;39,7;;
;;21/04/2020 - 08:09;0;80,42;1,31;20,99;13,95;;;;;;;;;;36,2;;
;;21/04/2020 - 09:09;5,4;185,26;3,08;32,91;15,15;;;;;;;;;;29,0;;
;;21/04/2020 - 10:09;39,75;302,35;5,4;44,42;16,32;;;;;;;;;;22,0;;
;;21/04/2020 - 11:09;117,64;390,31;7,74;54,81;17,08;;;;;;;;;;17,5;;
;;21/04/2020 - 12:09;206,65;432,52;9,5;62,53;17,51;;;;;;;;;;14,9;;
;;21/04/2020 - 13:09;12,01;343;5,73;64,85;17,63;;;;;;;;;;14,2;;
;;21/04/2020 - 14:09;1,07;265,36;4,33;60,45;17,87;;;;;;;;;;12,7;;
;;21/04/2020 - 15:09;2,07;248,77;4,07;51,61;17,9;;;;;;;;;;12,6;;
;;21/04/2020 - 16:09;3,9;219,26;3,62;40,74;17,15;;;;;;;;;;17,1;;
;;21/04/2020 - 17:09;62,28;211,51;4,5;29,04;16,44;;;;;;;;;;21,3;;
;;21/04/2020 - 18:09;12,02;112,49;2,15;17,07;16,31;;;;;;;;;;22,1;;
;;21/04/2020 - 19:09;0;27,26;0,47;5,17;15,94;;;;;;;;;;24,3;;
;;21/04/2020 - 20:09;0;0;0;0;15,35;;;;;;;;;;27,8;;
;;21/04/2020 - 21:09;0;0;0;0;15,11;;;;;;;;;;29,3;;
;;21/04/2020 - 22:09;0;0;0;0;14,88;;;;;;;;;;30,6;;
;;21/04/2020 - 23:09;0;0;0;0;14,67;15,30;;15,4425;;;;;;;31,9;;
;mercoledì;22/04/2020 - 00:09;0;0;0;0;14,44;;;;;;;;;;33,3;680,81;
;;22/04/2020 - 01:09;0;0;0;0;14,08;;;;;;;;;;35,4;;
;;22/04/2020 - 02:09;0;0;0;0;13,71;;;;;;;;;;37,6;;
;;22/04/2020 - 03:09;0;0;0;0;13,32;;;;;;;;;;40,0;;
;;22/04/2020 - 04:09;0;0;0;0;13;;;;;;;;;;41,9;;
;;22/04/2020 - 05:09;0;0;0;0;12,57;;;;;;;;;;44,5;;
;;22/04/2020 - 06:09;0;0;0;0;12,04;;;;;;;;;;47,6;;
;;22/04/2020 - 07:09;7,97;56,16;1,08;9,27;11,77;;;;;;;;;;49,2;;
;;22/04/2020 - 08:09;29,16;149,88;2,84;21,23;13,52;;;;;;;;;;38,8;;
;;22/04/2020 - 09:09;181,67;240,69;6,21;33,15;15,5;;;;;;;;;;26,9;;
;;22/04/2020 - 10:09;613,42;159,23;10,61;44,68;16,7;;;;;;;;;;19,7;;
;;22/04/2020 - 11:09;763,93;169,36;12,73;55,1;17,54;;;;;;;;;;14,7;;
;;22/04/2020 - 12:09;834,71;183,19;13,94;62,86;18,38;;;;;;;;;;9,7;;
;;22/04/2020 - 13:09;619,19;311,89;13,03;65,18;18,82;;;;;;;;;;7,1;;
;;22/04/2020 - 14:09;442,25;357,72;11,55;60,72;18,36;;;;;;;;;;9,8;;
;;22/04/2020 - 15:09;2,06;246,92;4,04;51,81;17,84;;;;;;;;;;12,9;;
;;22/04/2020 - 16:09;22,31;268,44;4,69;40,91;17,21;;;;;;;;;;16,7;;
;;22/04/2020 - 17:09;36,09;208,88;4,01;29,2;16,75;;;;;;;;;;19,4;;
;;22/04/2020 - 18:09;6,53;106,58;1,91;17,22;16,41;;;;;;;;;;21,5;;
;;22/04/2020 - 19:09;0;19,34;0,33;5,33;16,03;;;;;;;;;;23,8;;
;;22/04/2020 - 20:09;0;0;0;0;15,44;;;;;;;;;;27,3;;
;;22/04/2020 - 21:09;0;0;0;0;14,91;;;;;;;;;;30,5;;
;;22/04/2020 - 22:09;0;0;0;0;14,22;;;;;;;;;;34,6;;
;;22/04/2020 - 23:09;0;0;0;0;13,65;15,26;;15,3825;;;;;;;38,0;;
;giovedì;23/04/2020 - 00:09;0;0;0;0;13,44;;;;;;;;;;39,2;831,94;
;;23/04/2020 - 01:09;0;0;0;0;12,93;;;;;;;;;;42,3;;
;;23/04/2020 - 02:09;0;0;0;0;12,6;;;;;;;;;;44,3;;
;;23/04/2020 - 03:09;0;0;0;0;12,31;;;;;;;;;;46,0;;
;;23/04/2020 - 04:09;0;0;0;0;11,89;;;;;;;;;;48,5;;
;;23/04/2020 - 05:09;0;0;0;0;11,72;;;;;;;;;;49,5;;
;;23/04/2020 - 06:09;0;0;0;0;11,88;;;;;;;;;;48,6;;
;;23/04/2020 - 07:09;0;21,26;0,35;9,51;12,23;;;;;;;;;;46,5;;
;;23/04/2020 - 08:09;9,98;134,62;2,33;21,46;13,48;;;;;;;;;;39,0;;
;;23/04/2020 - 09:09;26,73;227,78;4,04;33,39;14,84;;;;;;;;;;30,9;;
;;23/04/2020 - 10:09;120,4;336,44;6,93;44,94;15,84;;;;;;;;;;24,9;;
;;23/04/2020 - 11:09;30,84;348,58;6,04;55,39;16,52;;;;;;;;;;20,8;;
;;23/04/2020 - 12:09;69,13;412,69;7,55;63,19;16,69;;;;;;;;;;19,8;;
;;23/04/2020 - 13:09;0;78,57;1,28;65,51;15,66;;;;;;;;;;26,0;;
;;23/04/2020 - 14:09;0;74,87;1,22;60,98;16,32;;;;;;;;;;22,0;;
;;23/04/2020 - 15:09;0;103,53;1,68;52,02;16,54;;;;;;;;;;20,7;;
;;23/04/2020 - 16:09;0;68,4;1,11;41,08;15,53;;;;;;;;;;26,7;;
;;23/04/2020 - 17:09;63,16;215,9;4,6;29,35;15,36;;;;;;;;;;27,8;;
;;23/04/2020 - 18:09;0;49,92;0,81;17,38;15,27;;;;;;;;;;28,3;;
;;23/04/2020 - 19:09;0;12,31;0,21;5,49;14,98;;;;;;;;;;30,0;;
;;23/04/2020 - 20:09;0;0;0;0;14,32;;;;;;;;;;34,0;;
;;23/04/2020 - 21:09;0;0;0;0;13,78;;;;;;;;;;37,2;;
;;23/04/2020 - 22:09;0;0;0;0;13,53;;;;;;;;;;38,7;;
;;23/04/2020 - 23:09;0;0;0;0;13,29;14,21;;14,3925;;;;;;;40,1;;
;venerdì;24/04/2020 - 00:09;0;0;0;0;12,96;;;;;;;;;;42,1;873,28;
;;24/04/2020 - 01:09;0;0;0;0;12,64;;;;;;;;;;44,0;;
;;24/04/2020 - 02:09;0;0;0;0;12,36;;;;;;;;;;45,7;;
;;24/04/2020 - 03:09;0;0;0;0;12,22;;;;;;;;;;46,5;;
;;24/04/2020 - 04:09;0;0;0;0;12,32;;;;;;;;;;45,9;;
;;24/04/2020 - 05:09;0;0;0;0;12,41;;;;;;;;;;45,4;;
;;24/04/2020 - 06:09;0;0;0;0;12,52;;;;;;;;;;44,8;;
;;24/04/2020 - 07:09;11,97;61,47;1,26;9,74;12,59;;;;;;;;;;44,3;;
;;24/04/2020 - 08:09;209,85;107,62;4,81;21,69;13,42;;;;;;;;;;39,4;;
;;24/04/2020 - 09:09;237,12;226,1;6,75;33,63;13,82;;;;;;;;;;37,0;;
;;24/04/2020 - 10:09;1,09;208,05;3,4;45,19;14,74;;;;;;;;;;31,5;;
;;24/04/2020 - 11:09;23,04;336,67;5,76;55,67;15,24;;;;;;;;;;28,5;;
;;24/04/2020 - 12:09;194,65;437,4;9,47;63,51;15,85;;;;;;;;;;24,8;;
;;24/04/2020 - 13:09;0;85,97;1,4;65,84;16,14;;;;;;;;;;23,1;;
;;24/04/2020 - 14:09;0;228,32;3,71;61,25;15,64;;;;;;;;;;26,1;;
;;24/04/2020 - 15:09;0;130,33;2,12;52,22;15,23;;;;;;;;;;28,5;;
;;24/04/2020 - 16:09;0;162,69;2,65;41,25;15,44;;;;;;;;;;27,3;;
;;24/04/2020 - 17:09;95,82;210,74;5,1;29,5;15,33;;;;;;;;;;27,9;;
;;24/04/2020 - 18:09;0;76,72;1,25;17,53;15,3;;;;;;;;;;28,1;;
;;24/04/2020 - 19:09;0;23,74;0,41;5,65;14,51;;;;;;;;;;32,8;;
;;24/04/2020 - 20:09;0;0;0;0;13,84;;;;;;;;;;36,9;;
;;24/04/2020 - 21:09;0;0;0;0;13,58;;;;;;;;;;38,4;;
;;24/04/2020 - 22:09;0;0;0;0;13,33;;;;;;;;;;39,9;;
;;24/04/2020 - 23:09;0;0;0;0;12,61;13,92;;14,005;;;;;;;44,2;;
;sabato;25/04/2020 - 00:09;0;0;0;0;12,32;;;;;;;;;;45,9;857,19;
;;25/04/2020 - 01:09;0;0;0;0;11,96;;;;;;;;;;48,1;;
;;25/04/2020 - 02:09;0;0;0;0;11,18;;;;;;;;;;52,8;;
;;25/04/2020 - 03:09;0;0;0;0;10,99;;;;;;;;;;53,9;;
;;25/04/2020 - 04:09;0;0;0;0;10,36;;;;;;;;;;57,7;;
;;25/04/2020 - 05:09;0;0;0;0;10,96;;;;;;;;;;54,1;;
;;25/04/2020 - 06:09;0;0;0;0;10,82;;;;;;;;;;54,9;;
;;25/04/2020 - 07:09;45,18;53,61;1,88;9,97;11,03;;;;;;;;;;53,7;;
;;25/04/2020 - 08:09;231,83;101,8;5,08;21,91;12,3;;;;;;;;;;46,1;;
;;25/04/2020 - 09:09;447,4;132,07;8,25;33,86;13,83;;;;;;;;;;36,9;;
;;25/04/2020 - 10:09;567,6;196,19;10,64;45,43;14,83;;;;;;;;;;30,9;;
;;25/04/2020 - 11:09;601,31;272,14;12,15;55,95;16,07;;;;;;;;;;23,5;;
;;25/04/2020 - 12:09;694,23;275,52;13,49;63,83;17,03;;;;;;;;;;17,8;;
;;25/04/2020 - 13:09;704,45;277,12;13,79;66,16;17,6;;;;;;;;;;14,4;;
;;25/04/2020 - 14:09;666,33;258,43;13,23;61,51;17,88;;;;;;;;;;12,7;;
;;25/04/2020 - 15:09;569,71;228,78;11,79;52,42;17,82;;;;;;;;;;13,0;;
;;25/04/2020 - 16:09;362,31;224,9;9,14;41,42;17,05;;;;;;;;;;17,6;;
;;25/04/2020 - 17:09;238,42;150,37;6,67;29,66;16,44;;;;;;;;;;21,3;;
;;25/04/2020 - 18:09;44,2;114,63;3,11;17,68;15,95;;;;;;;;;;24,2;;
;;25/04/2020 - 19:09;0;32,53;0,56;5,81;15,27;;;;;;;;;;28,3;;
;;25/04/2020 - 20:09;0;0;0;0;14,44;;;;;;;;;;33,3;;
;;25/04/2020 - 21:09;0;0;0;0;13,84;;;;;;;;;;36,9;;
;;25/04/2020 - 22:09;0;0;0;0;13,49;;;;;;;;;;38,9;;
;;25/04/2020 - 23:09;0;0;0;0;13,27;14,03;;14,1275;;;;;;;40,3;;
;domenica;26/04/2020 - 00:09;0;0;0;0;12,98;;;;;;;;;;42,0;651,85;
;;26/04/2020 - 01:09;0;0;0;0;13,15;;;;;;;;;;41,0;;
;;26/04/2020 - 02:09;0;0;0;0;13,23;;;;;;;;;;40,5;;
;;26/04/2020 - 03:09;0;0;0;0;13,3;;;;;;;;;;40,1;;
;;26/04/2020 - 04:09;0;0;0;0;13,14;;;;;;;;;;41,0;;
;;26/04/2020 - 05:09;0;0;0;0;13,09;;;;;;;;;;41,3;;
;;26/04/2020 - 06:09;0;0;0;0;12,66;;;;;;;;;;43,9;;
;;26/04/2020 - 07:09;4,12;57,14;1,02;10,2;13,01;;;;;;;;;;41,8;;
;;26/04/2020 - 08:09;1,95;112,86;1,86;22,13;13,8;;;;;;;;;;37,1;;
;;26/04/2020 - 09:09;46,3;244,2;4,57;34,08;15,49;;;;;;;;;;27,0;;
;;26/04/2020 - 10:09;129,69;336,78;7,08;45,67;16,01;;;;;;;;;;23,9;;
;;26/04/2020 - 11:09;107,85;394,31;7,73;56,22;16,57;;;;;;;;;;20,5;;
;;26/04/2020 - 12:09;494,22;356,03;12,06;64,15;17,13;;;;;;;;;;17,2;;
;;26/04/2020 - 13:09;117,02;438,3;8,58;66,48;17,97;;;;;;;;;;12,1;;
;;26/04/2020 - 14:09;73,55;405,79;7,55;61,76;18,39;;;;;;;;;;9,6;;
;;26/04/2020 - 15:09;73,98;364,38;6,93;52,62;18,51;;;;;;;;;;8,9;;
;;26/04/2020 - 16:09;0;144,2;2,35;41,58;18,7;;;;;;;;;;7,8;;
;;26/04/2020 - 17:09;110,51;206,77;5,32;29,81;18,4;;;;;;;;;;9,6;;
;;26/04/2020 - 18:09;92;74,43;3,79;17,83;17,88;;;;;;;;;;12,7;;
;;26/04/2020 - 19:09;0;31,65;0,54;5,97;17,36;;;;;;;;;;15,8;;
;;26/04/2020 - 20:09;0;0;0;0;16,49;;;;;;;;;;21,0;;
;;26/04/2020 - 21:09;0;0;0;0;15,21;;;;;;;;;;28,7;;
;;26/04/2020 - 22:09;0;0;0;0;14,62;;;;;;;;;;32,2;;
;;26/04/2020 - 23:09;0;0;0;0;13,96;15,46;;15,835;;;;;;;36,1;;
;lunedì;27/04/2020 - 00:09;0;0;0;0;13,38;;;;;;;;;;39,6;571,26;
;;27/04/2020 - 01:09;0;0;0;0;13,05;;;;;;;;;;41,6;;
;;27/04/2020 - 02:09;0;0;0;0;12,83;;;;;;;;;;42,9;;
;;27/04/2020 - 03:09;0;0;0;0;12,63;;;;;;;;;;44,1;;
