;mercoledì;01/01/2020 - 00:09; 3.95
;07/01/2020 - 10:09;7.46
;07/01/2020 - 11:09;8.62
;07/01/2020 - 12:09;9.53
;07/01/2020 - 13:09;10.18
;07/01/2020 - 14:09;10.49
;07/01/2020 - 15:09;10.62
;07/01/2020 - 16:09;10.38
;07/01/2020 - 17:09;9.53
;07/01/2020 - 18:09;8.52
;07/01/2020 - 19:09;6.97
;07/01/2020 - 20:09;8.62
;07/01/2020 - 21:09;8.49
;07/01/2020 - 22:09;8.26
;07/01/2020 - 23:09;7.91
mercoledì;08/01/2020 - 00:09;7.69
;08/01/2020 - 01:09;7.26
;08/01/2020 - 02:09;6.56
;08/01/2020 - 03:09;6.54
;08/01/2020 - 04:09;6.89
;08/01/2020 - 05:09;6.71
;08/01/2020 - 06:09;5.58
;08/01/2020 - 07:09;5.04
;08/01/2020 - 08:09;5.87
;08/01/2020 - 09:09;7.63
;08/01/2020 - 10:09;9.17
;08/01/2020 - 11:09;9.98
;08/01/2020 - 12:09;10.18
;08/01/2020 - 13:09;10.44
;08/01/2020 - 14:09;10.52
;08/01/2020 - 15:09;10.35
;08/01/2020 - 16:09;10.03
;08/01/2020 - 17:09;9.35
;08/01/2020 - 18:09;8.53
;08/01/2020 - 19:09;8.13
;08/01/2020 - 20:09;7.59
;08/01/2020 - 21:09;7.32
;08/01/2020 - 22:09;6.98
;08/01/2020 - 23:09;6.81
giovedì;09/01/2020 - 00:09;6.84
;09/01/2020 - 01:09;6.56
;09/01/2020 - 02:09;6.23
;09/01/2020 - 03:09;5.81
;09/01/2020 - 04:09;5.31
;09/01/2020 - 05:09;4.97
;09/01/2020 - 06:09;4.9
;09/01/2020 - 07:09;4.79
;09/01/2020 - 08:09;4.93
;09/01/2020 - 09:09;7.14
;09/01/2020 - 10:09;9.56
;09/01/2020 - 11:09;10.75
;09/01/2020 - 12:09;11.33
;09/01/2020 - 13:09;11.6
;09/01/2020 - 14:09;11.71
;09/01/2020 - 15:09;11.73
;09/01/2020 - 16:09;11.46
;09/01/2020 - 17:09;10.55
;09/01/2020 - 18:09;9.06
;09/01/2020 - 19:09;8.35
;09/01/2020 - 20:09;7.53
;09/01/2020 - 21:09;7.18
;09/01/2020 - 22:09;6.83
;09/01/2020 - 23:09;5.98
venerdì;10/01/2020 - 00:09;5.5
;10/01/2020 - 01:09;5.36
;10/01/2020 - 02:09;5.4
;10/01/2020 - 03:09;5.35
;10/01/2020 - 04:09;5.2
;10/01/2020 - 05:09;4.94
;10/01/2020 - 06:09;4.79
;10/01/2020 - 07:09;4.71
;10/01/2020 - 08:09;4.13
;10/01/2020 - 09:09;7.26
;10/01/2020 - 10:09;10.07
;10/01/2020 - 11:09;11.07
;10/01/2020 - 12:09;11.57
;10/01/2020 - 13:09;11.8
;10/01/2020 - 14:09;11.82
;10/01/2020 - 15:09;11.64
;10/01/2020 - 16:09;11.14
;10/01/2020 - 17:09;10.1
;10/01/2020 - 18:09;8.7
;10/01/2020 - 19:09;7.83
;10/01/2020 - 20:09;8.36
;10/01/2020 - 21:09;8.25
;10/01/2020 - 22:09;8.03
;10/01/2020 - 23:09;7.87
sabato;11/01/2020 - 00:09;7.73
;11/01/2020 - 01:09;7.53
;11/01/2020 - 02:09;6.03
;11/01/2020 - 03:09;5.4
;11/01/2020 - 04:09;5.01
;11/01/2020 - 05:09;5.2
;11/01/2020 - 06:09;5.55
;11/01/2020 - 07:09;5.74
;11/01/2020 - 08:09;6.41
;11/01/2020 - 09:09;8.12
;11/01/2020 - 10:09;9.57
;11/01/2020 - 11:09;10.64
;11/01/2020 - 12:09;11.11
;11/01/2020 - 13:09;11.22
;11/01/2020 - 14:09;11.24
;11/01/2020 - 15:09;11.08
;11/01/2020 - 16:09;10.63
